timestamp,device_id,temperature,vibration,power_usage
2026-03-13T05:41:38.887302,Device-003,29.23,1.64,37.73
2026-03-13T05:41:38.887302,Device-004,40.93,1.03,40.89
2026-03-13T05:41:38.887302,Device-005,55.87,1.76,37.19
2026-03-13T05:41:38.887302,Device-001,41.68,0.91,15.26
2026-03-13T05:41:38.887302,Device-002,38.32,1.74,21.62
2026-03-13T05:41:38.887302,Device-005,32.99,0.59,18.94
2026-03-13T05:41:38.887302,Device-002,50.14,1.55,44.27
2026-03-13T05:41:38.887302,Device-002,52.54,1.77,24.03
2026-03-13T05:41:38.887302,Device-002,44.43,0.82,15.1
2026-03-13T05:41:38.887302,Device-005,31.64,0.77,18.87
2026-03-13T05:41:38.887302,Device-002,37.57,1.96,32.09
2026-03-13T05:41:38.888300,Device-001,38.63,1.38,28.52
2026-03-13T05:41:38.888300,Device-003,37.97,0.12,28.68
2026-03-13T05:41:38.888300,Device-003,23.86,1.38,29.3
2026-03-13T05:41:38.888300,Device-005,49.86,1.18,19.5
2026-03-13T05:41:38.888300,Device-005,45.69,1.99,33.72
2026-03-13T05:41:38.888300,Device-005,55.12,1.28,34.88
2026-03-13T05:41:38.888300,Device-005,28.54,1.38,25.17
2026-03-13T05:41:38.888300,Device-004,38.78,1.36,47.48
2026-03-13T05:41:38.888300,Device-002,49.5,0.1,28.62
2026-03-13T05:41:38.888300,Device-005,59.83,1.52,47.21
2026-03-13T05:41:38.888300,Device-002,51.74,0.67,34.14
2026-03-13T05:41:38.888300,Device-003,55.14,0.49,15.93
2026-03-13T05:41:38.888300,Device-005,30.09,1.88,49.79
2026-03-13T05:41:38.888300,Device-004,56.52,1.1,20.91
2026-03-13T05:41:38.888300,Device-002,32.08,1.02,31.3
2026-03-13T05:41:38.888300,Device-004,48.3,1.42,38.37
2026-03-13T05:41:38.888300,Device-002,49.12,0.73,45.16
2026-03-13T05:41:38.888300,Device-001,59.64,0.77,38.46
2026-03-13T05:41:38.888300,Device-001,55.66,0.31,42.81
2026-03-13T05:41:38.888300,Device-003,59.15,1.3,22.95
2026-03-13T05:41:38.888300,Device-004,37.17,0.82,29.86
2026-03-13T05:41:38.888300,Device-001,56.94,0.16,47.86
2026-03-13T05:41:38.888300,Device-005,22.88,1.16,26.86
2026-03-13T05:41:38.888300,Device-005,23.14,1.6,20.74
2026-03-13T05:41:38.888300,Device-003,28.21,0.22,15.39
2026-03-13T05:41:38.888300,Device-002,43.24,1.51,25.27
2026-03-13T05:41:38.888300,Device-001,34.79,1.11,17.51
2026-03-13T05:41:38.888300,Device-004,48.5,1.14,38.82
2026-03-13T05:41:38.888300,Device-002,40.52,0.25,31.66
2026-03-13T05:41:38.888300,Device-004,36.57,1.03,38.06
2026-03-13T05:41:38.888300,Device-002,49.14,1.57,28.09
2026-03-13T05:41:38.888300,Device-004,20.35,0.59,42.83
2026-03-13T05:41:38.888300,Device-002,24.41,1.79,24.99
2026-03-13T05:41:38.888300,Device-003,28.54,1.76,48.37
2026-03-13T05:41:38.888300,Device-001,26.91,0.78,36.0
2026-03-13T05:41:38.888300,Device-005,43.57,1.13,31.28
2026-03-13T05:41:38.888300,Device-005,38.56,0.25,26.77
2026-03-13T05:41:38.888300,Device-005,33.82,0.35,10.37
2026-03-13T05:41:38.888300,Device-003,25.11,0.97,24.41
2026-03-13T05:41:38.888300,Device-004,23.46,0.92,16.84
2026-03-13T05:41:38.888300,Device-004,49.96,1.58,21.11
2026-03-13T05:41:38.888300,Device-005,49.51,0.2,38.14
2026-03-13T05:41:38.888300,Device-004,46.64,0.3,35.89
2026-03-13T05:41:38.888300,Device-004,41.84,0.44,49.74
2026-03-13T05:41:38.888300,Device-001,35.13,1.26,32.31
2026-03-13T05:41:38.888300,Device-004,36.54,0.68,22.52
2026-03-13T05:41:38.888300,Device-005,47.09,1.24,10.41
2026-03-13T05:41:38.888300,Device-005,39.01,1.72,27.7
2026-03-13T05:41:38.888300,Device-003,43.1,1.47,41.76
2026-03-13T05:41:38.888300,Device-005,44.95,1.3,28.12
2026-03-13T05:41:38.888300,Device-002,44.64,1.54,31.74
2026-03-13T05:41:38.888300,Device-002,39.78,0.44,25.08
2026-03-13T05:41:38.888300,Device-003,35.38,0.44,21.72
2026-03-13T05:41:38.888300,Device-005,22.4,1.16,21.4
2026-03-13T05:41:38.888300,Device-004,28.19,1.07,43.34
2026-03-13T05:41:38.888300,Device-004,59.01,0.78,43.61
2026-03-13T05:41:38.888300,Device-005,35.31,1.72,28.24
2026-03-13T05:41:38.888300,Device-002,48.26,1.57,13.06
2026-03-13T05:41:38.888300,Device-003,30.15,0.43,13.86
2026-03-13T05:41:38.888300,Device-002,28.5,0.96,20.52
2026-03-13T05:41:38.888300,Device-003,41.53,1.15,20.73
2026-03-13T05:41:38.888300,Device-005,56.35,0.57,37.59
2026-03-13T05:41:38.888300,Device-002,37.05,0.27,38.91
2026-03-13T05:41:38.888300,Device-001,21.31,0.91,30.95
2026-03-13T05:41:38.888300,Device-003,46.83,1.52,43.9
2026-03-13T05:41:38.888300,Device-002,47.65,1.49,46.7
2026-03-13T05:41:38.888300,Device-005,21.05,1.87,38.89
2026-03-13T05:41:38.888300,Device-005,59.02,0.6,24.89
2026-03-13T05:41:38.888300,Device-003,28.54,0.21,20.07
2026-03-13T05:41:38.888300,Device-005,32.31,1.03,15.41
2026-03-13T05:41:38.888300,Device-005,21.67,0.86,13.05
2026-03-13T05:41:38.888300,Device-003,24.7,1.91,12.5
2026-03-13T05:41:38.888300,Device-004,30.04,1.63,49.08
2026-03-13T05:41:38.888300,Device-004,40.28,1.81,35.45
2026-03-13T05:41:38.888300,Device-004,36.04,1.69,37.78
2026-03-13T05:41:38.888300,Device-002,48.68,0.26,19.41
2026-03-13T05:41:38.888300,Device-003,42.11,1.19,27.84
2026-03-13T05:41:38.888300,Device-002,37.97,1.47,29.49
2026-03-13T05:41:38.888300,Device-001,21.74,1.65,47.14
2026-03-13T05:41:38.889300,Device-003,47.85,0.58,37.68
2026-03-13T05:41:38.889300,Device-001,49.19,0.71,13.2
2026-03-13T05:41:38.889300,Device-002,30.46,1.98,11.38
2026-03-13T05:41:38.889300,Device-002,27.03,0.96,16.07
2026-03-13T05:41:38.889300,Device-004,25.02,1.93,10.14
2026-03-13T05:41:38.889300,Device-004,59.49,1.29,27.22
2026-03-13T05:41:38.889300,Device-005,50.87,1.84,12.08
2026-03-13T05:41:38.889300,Device-001,49.66,0.82,28.38
2026-03-13T05:41:38.889300,Device-004,35.75,1.47,10.88
2026-03-13T05:41:38.889300,Device-004,38.68,0.56,18.84
2026-03-13T05:41:38.889300,Device-004,27.81,1.88,25.78
2026-03-13T05:41:38.889300,Device-001,51.07,1.86,44.0
2026-03-13T05:41:38.889300,Device-004,25.83,1.54,10.97
2026-03-13T05:41:38.889300,Device-003,44.08,1.18,12.66
2026-03-13T05:41:38.889300,Device-001,47.9,1.95,24.3
2026-03-13T05:41:38.889300,Device-003,50.57,1.91,32.34
2026-03-13T05:41:38.889300,Device-002,58.16,0.12,48.55
2026-03-13T05:41:38.889300,Device-001,59.5,0.86,46.28
2026-03-13T05:41:38.889300,Device-004,40.75,0.57,41.2
2026-03-13T05:41:38.889300,Device-002,44.88,0.12,24.13
2026-03-13T05:41:38.889300,Device-003,43.02,0.7,29.9
2026-03-13T05:41:38.889300,Device-001,52.32,0.19,19.05
2026-03-13T05:41:38.889300,Device-005,37.59,1.47,14.87
2026-03-13T05:41:38.889300,Device-002,56.6,1.14,38.92
2026-03-13T05:41:38.889300,Device-003,44.4,0.59,15.48
2026-03-13T05:41:38.889300,Device-005,20.55,1.02,38.95
2026-03-13T05:41:38.889300,Device-003,36.75,1.09,21.73
2026-03-13T05:41:38.889300,Device-004,25.64,0.5,28.33
2026-03-13T05:41:38.889300,Device-003,36.31,0.79,43.5
2026-03-13T05:41:38.889300,Device-003,51.46,0.1,20.03
2026-03-13T05:41:38.889300,Device-001,37.85,1.46,45.69
2026-03-13T05:41:38.889300,Device-005,33.24,1.43,49.77
2026-03-13T05:41:38.889300,Device-001,46.43,1.54,19.51
2026-03-13T05:41:38.889300,Device-005,47.78,0.83,30.85
2026-03-13T05:41:38.889300,Device-002,38.1,0.86,32.53
2026-03-13T05:41:38.889300,Device-001,35.11,1.27,43.22
2026-03-13T05:41:38.889300,Device-002,25.95,1.35,48.48
2026-03-13T05:41:38.889300,Device-001,32.81,0.89,14.28
2026-03-13T05:41:38.889300,Device-001,37.08,1.5,28.52
2026-03-13T05:41:38.889300,Device-005,28.87,0.88,22.84
2026-03-13T05:41:38.889300,Device-001,46.82,1.89,39.79
2026-03-13T05:41:38.889300,Device-003,33.27,1.86,38.3
2026-03-13T05:41:38.889300,Device-004,39.86,1.09,12.04
2026-03-13T05:41:38.889300,Device-004,44.78,0.8,33.69
2026-03-13T05:41:38.889300,Device-002,30.63,1.46,47.45
2026-03-13T05:41:38.889300,Device-004,58.69,1.32,36.17
2026-03-13T05:41:38.889300,Device-004,43.59,1.29,12.98
2026-03-13T05:41:38.889300,Device-005,48.27,0.27,32.54
2026-03-13T05:41:38.889300,Device-003,29.56,1.44,44.54
2026-03-13T05:41:38.889300,Device-004,30.47,1.21,21.16
2026-03-13T05:41:38.889300,Device-004,41.19,1.09,36.34
2026-03-13T05:41:38.889300,Device-005,42.38,1.42,14.59
2026-03-13T05:41:38.889300,Device-002,53.5,0.49,26.11
2026-03-13T05:41:38.889300,Device-005,57.47,0.75,37.86
2026-03-13T05:41:38.889300,Device-003,31.81,1.83,30.1
2026-03-13T05:41:38.889300,Device-001,46.55,0.66,27.55
2026-03-13T05:41:38.889300,Device-003,52.47,1.78,39.65
2026-03-13T05:41:38.889300,Device-003,30.93,1.72,46.63
2026-03-13T05:41:38.889300,Device-005,28.08,0.69,30.58
2026-03-13T05:41:38.889300,Device-004,28.92,0.32,39.87
2026-03-13T05:41:38.889300,Device-001,52.34,1.36,32.38
2026-03-13T05:41:38.889300,Device-001,20.38,1.32,32.67
2026-03-13T05:41:38.889300,Device-003,53.28,0.64,27.03
2026-03-13T05:41:38.889300,Device-004,20.39,0.41,39.49
2026-03-13T05:41:38.889300,Device-001,38.32,1.83,20.29
2026-03-13T05:41:38.889300,Device-003,34.83,0.73,12.1
2026-03-13T05:41:38.889300,Device-003,40.24,0.52,44.9
2026-03-13T05:41:38.889300,Device-004,27.57,0.98,12.94
2026-03-13T05:41:38.889300,Device-004,42.04,1.07,38.59
2026-03-13T05:41:38.889300,Device-005,53.44,0.12,17.26
2026-03-13T05:41:38.889300,Device-002,53.33,1.16,36.16
2026-03-13T05:41:38.889300,Device-002,42.65,1.33,31.98
2026-03-13T05:41:38.889300,Device-001,22.43,0.38,21.57
2026-03-13T05:41:38.889300,Device-002,25.58,1.99,47.81
2026-03-13T05:41:38.889300,Device-004,45.32,0.85,30.53
2026-03-13T05:41:38.889300,Device-001,20.91,0.49,27.43
2026-03-13T05:41:38.889300,Device-001,42.9,1.71,17.02
2026-03-13T05:41:38.889300,Device-002,21.2,1.77,12.48
2026-03-13T05:41:38.889300,Device-004,56.79,0.25,12.2
2026-03-13T05:41:38.889300,Device-005,56.26,0.14,16.01
2026-03-13T05:41:38.889300,Device-003,53.57,0.55,36.66
2026-03-13T05:41:38.889300,Device-003,29.64,0.78,23.44
2026-03-13T05:41:38.889300,Device-002,47.19,0.29,46.46
2026-03-13T05:41:38.889300,Device-002,38.86,1.76,19.87
2026-03-13T05:41:38.889300,Device-001,54.61,0.1,35.47
2026-03-13T05:41:38.889300,Device-003,56.64,0.12,21.91
2026-03-13T05:41:38.889300,Device-002,22.49,1.55,47.32
2026-03-13T05:41:38.889300,Device-004,49.75,1.58,11.21
2026-03-13T05:41:38.889300,Device-003,54.75,1.61,35.95
2026-03-13T05:41:38.889300,Device-001,51.53,1.56,14.66
2026-03-13T05:41:38.889300,Device-003,30.47,1.44,10.55
2026-03-13T05:41:38.889300,Device-003,22.19,1.24,10.95
2026-03-13T05:41:38.889300,Device-002,36.38,1.31,22.9
2026-03-13T05:41:38.889300,Device-005,48.77,1.44,43.2
2026-03-13T05:41:38.889300,Device-004,35.31,0.72,40.45
2026-03-13T05:41:38.889300,Device-002,52.89,1.63,25.41
2026-03-13T05:41:38.889300,Device-002,22.51,0.18,38.69
2026-03-13T05:41:38.889300,Device-002,28.92,1.97,41.21
2026-03-13T05:41:38.889300,Device-002,33.18,0.33,26.13
2026-03-13T05:41:38.889300,Device-002,27.11,1.7,35.8
2026-03-13T05:41:38.889300,Device-003,51.18,0.99,30.42
2026-03-13T05:41:38.889300,Device-003,36.86,0.98,32.85
2026-03-13T05:41:38.889300,Device-002,42.75,1.21,44.18
2026-03-13T05:41:38.889300,Device-001,46.71,1.49,36.45
2026-03-13T05:41:38.889300,Device-002,36.33,1.95,21.74
2026-03-13T05:41:38.889300,Device-002,22.33,0.98,31.53
2026-03-13T05:41:38.889300,Device-002,40.08,0.58,37.2
2026-03-13T05:41:38.889300,Device-005,21.99,1.05,34.19
2026-03-13T05:41:38.889300,Device-003,44.06,1.27,16.06
2026-03-13T05:41:38.889300,Device-001,20.79,0.9,38.69
2026-03-13T05:41:38.889300,Device-003,58.55,1.01,19.6
2026-03-13T05:41:38.889300,Device-001,44.89,0.13,37.38
2026-03-13T05:41:38.889300,Device-003,33.54,1.66,40.81
2026-03-13T05:41:38.889300,Device-004,30.46,0.23,35.87
2026-03-13T05:41:38.889300,Device-002,46.21,0.5,23.38
2026-03-13T05:41:38.889300,Device-003,43.04,1.51,36.25
2026-03-13T05:41:38.889300,Device-004,55.59,0.18,17.36
2026-03-13T05:41:38.889300,Device-001,57.39,0.61,30.35
2026-03-13T05:41:38.889300,Device-002,42.95,0.24,26.21
2026-03-13T05:41:38.889300,Device-004,57.86,0.69,27.11
2026-03-13T05:41:38.889300,Device-004,29.55,1.96,24.15
2026-03-13T05:41:38.890301,Device-004,27.92,0.19,28.41
2026-03-13T05:41:38.890301,Device-005,39.32,1.49,43.07
2026-03-13T05:41:38.890301,Device-005,47.91,1.84,31.55
2026-03-13T05:41:38.890301,Device-005,33.74,1.77,32.5
2026-03-13T05:41:38.890301,Device-005,20.04,1.26,18.35
2026-03-13T05:41:38.890301,Device-004,28.67,1.47,20.42
2026-03-13T05:41:38.890301,Device-003,53.77,1.8,31.07
2026-03-13T05:41:38.890301,Device-004,52.64,0.53,36.6
2026-03-13T05:41:38.890301,Device-004,44.95,1.44,32.39
2026-03-13T05:41:38.890301,Device-005,44.86,1.17,13.0
2026-03-13T05:41:38.890301,Device-002,26.37,0.16,38.44
2026-03-13T05:41:38.890301,Device-002,59.1,0.59,45.41
2026-03-13T05:41:38.890301,Device-005,24.5,1.08,30.42
2026-03-13T05:41:38.890301,Device-003,20.37,1.44,37.51
2026-03-13T05:41:38.890301,Device-004,37.24,1.49,15.55
2026-03-13T05:41:38.890301,Device-002,28.62,0.14,18.42
2026-03-13T05:41:38.890301,Device-003,44.4,0.57,48.55
2026-03-13T05:41:38.890301,Device-002,31.69,1.25,25.57
2026-03-13T05:41:38.890301,Device-002,46.35,0.44,10.57
2026-03-13T05:41:38.890301,Device-001,38.84,1.22,30.06
2026-03-13T05:41:38.890301,Device-003,58.27,1.39,27.61
2026-03-13T05:41:38.890301,Device-002,40.55,0.53,15.52
2026-03-13T05:41:38.890301,Device-001,59.93,0.24,13.77
2026-03-13T05:41:38.890301,Device-001,35.75,0.39,28.83
2026-03-13T05:41:38.890301,Device-001,22.06,1.74,27.66
2026-03-13T05:41:38.890301,Device-002,59.67,1.36,28.66
2026-03-13T05:41:38.890301,Device-005,27.51,1.72,12.06
2026-03-13T05:41:38.890301,Device-003,25.39,0.42,38.86
2026-03-13T05:41:38.890301,Device-005,42.71,0.45,43.33
2026-03-13T05:41:38.890301,Device-004,22.94,1.94,23.75
2026-03-13T05:41:38.890301,Device-001,40.27,1.15,32.14
2026-03-13T05:41:38.890301,Device-004,46.31,0.65,29.1
2026-03-13T05:41:38.890301,Device-004,39.64,0.77,48.9
2026-03-13T05:41:38.890301,Device-002,50.47,1.4,37.61
2026-03-13T05:41:38.890301,Device-001,57.52,1.91,19.81
2026-03-13T05:41:38.890301,Device-004,24.79,0.94,11.68
2026-03-13T05:41:38.890301,Device-004,25.08,1.67,45.1
2026-03-13T05:41:38.890301,Device-002,31.47,0.79,27.82
2026-03-13T05:41:38.890301,Device-001,26.72,1.87,49.27
2026-03-13T05:41:38.890301,Device-005,24.49,1.57,20.7
2026-03-13T05:41:38.890301,Device-004,26.36,1.25,29.55
2026-03-13T05:41:38.890301,Device-002,36.08,1.94,21.39
2026-03-13T05:41:38.890301,Device-001,29.9,0.23,42.47
2026-03-13T05:41:38.890301,Device-003,47.97,0.98,35.79
2026-03-13T05:41:38.890301,Device-003,37.17,1.5,44.6
2026-03-13T05:41:38.890301,Device-005,28.12,1.26,23.16
2026-03-13T05:41:38.890301,Device-002,28.88,1.83,42.69
2026-03-13T05:41:38.890301,Device-003,52.48,0.77,29.91
2026-03-13T05:41:38.890301,Device-001,21.9,1.31,27.54
2026-03-13T05:41:38.890301,Device-004,30.6,1.89,41.21
2026-03-13T05:41:38.890301,Device-002,29.92,1.14,36.17
2026-03-13T05:41:38.890301,Device-002,50.76,1.3,17.43
2026-03-13T05:41:38.890301,Device-003,51.49,0.74,37.44
2026-03-13T05:41:38.890301,Device-002,31.89,1.06,27.17
2026-03-13T05:41:38.890301,Device-002,55.38,1.48,17.77
2026-03-13T05:41:38.890301,Device-002,56.38,1.88,12.37
2026-03-13T05:41:38.890301,Device-002,33.49,0.62,36.33
2026-03-13T05:41:38.890301,Device-005,42.47,0.38,21.08
2026-03-13T05:41:38.890301,Device-002,48.65,1.25,44.73
2026-03-13T05:41:38.890301,Device-005,43.67,1.4,11.5
2026-03-13T05:41:38.890301,Device-002,50.98,1.64,10.31
2026-03-13T05:41:38.890301,Device-005,48.28,0.49,23.08
2026-03-13T05:41:38.890301,Device-005,49.04,1.43,20.75
2026-03-13T05:41:38.890301,Device-002,40.84,1.86,10.71
2026-03-13T05:41:38.890301,Device-005,34.35,0.7,36.36
2026-03-13T05:41:38.890301,Device-005,49.22,1.66,13.86
2026-03-13T05:41:38.890301,Device-005,50.92,0.53,21.23
2026-03-13T05:41:38.890301,Device-004,46.9,0.59,21.15
2026-03-13T05:41:38.890301,Device-004,49.67,1.22,24.15
2026-03-13T05:41:38.890301,Device-005,44.66,0.96,27.08
2026-03-13T05:41:38.890301,Device-001,28.37,0.19,37.97
2026-03-13T05:41:38.890301,Device-003,58.97,0.27,23.44
2026-03-13T05:41:38.890301,Device-002,42.49,0.63,37.06
2026-03-13T05:41:38.890301,Device-004,22.66,0.41,10.05
2026-03-13T05:41:38.890301,Device-003,39.02,1.84,45.73
2026-03-13T05:41:38.890301,Device-002,53.82,0.37,35.23
2026-03-13T05:41:38.890301,Device-004,45.54,1.58,42.63
2026-03-13T05:41:38.890301,Device-005,44.33,0.56,27.94
2026-03-13T05:41:38.890301,Device-005,43.62,0.11,33.9
2026-03-13T05:41:38.890301,Device-005,50.08,0.51,29.94
2026-03-13T05:41:38.890301,Device-004,24.41,1.44,16.84
2026-03-13T05:41:38.890301,Device-004,58.54,1.05,40.74
2026-03-13T05:41:38.890301,Device-003,36.41,1.68,23.02
2026-03-13T05:41:38.890301,Device-004,35.86,1.39,35.51
2026-03-13T05:41:38.890301,Device-001,25.46,0.94,11.46
2026-03-13T05:41:38.890301,Device-001,43.09,0.36,45.52
2026-03-13T05:41:38.890301,Device-004,51.37,1.73,41.84
2026-03-13T05:41:38.890301,Device-002,51.48,0.6,22.87
2026-03-13T05:41:38.890301,Device-004,51.67,1.99,45.88
2026-03-13T05:41:38.890301,Device-005,21.58,1.92,20.75
2026-03-13T05:41:38.890301,Device-004,43.69,1.44,20.07
2026-03-13T05:41:38.891306,Device-002,28.05,0.52,22.88
2026-03-13T05:41:38.891306,Device-001,31.04,1.94,45.15
2026-03-13T05:41:38.891306,Device-001,31.9,0.25,17.38
2026-03-13T05:41:38.891306,Device-004,22.18,1.76,45.62
2026-03-13T05:41:38.891306,Device-005,48.51,1.79,10.93
2026-03-13T05:41:38.891306,Device-003,35.48,0.69,39.78
2026-03-13T05:41:38.891306,Device-001,28.08,0.76,17.78
2026-03-13T05:41:38.891306,Device-001,33.45,1.8,40.15
2026-03-13T05:41:38.891306,Device-005,25.33,0.45,28.46
2026-03-13T05:41:38.891306,Device-004,31.16,0.72,10.18
2026-03-13T05:41:38.891306,Device-002,38.63,0.15,13.69
2026-03-13T05:41:38.891306,Device-001,28.32,0.14,35.47
2026-03-13T05:41:38.891306,Device-002,31.28,1.82,11.0
2026-03-13T05:41:38.891306,Device-003,45.68,1.89,21.52
2026-03-13T05:41:38.891306,Device-005,50.58,0.54,47.88
2026-03-13T05:41:38.891306,Device-004,56.27,1.91,45.97
2026-03-13T05:41:38.891306,Device-005,32.01,1.12,45.01
2026-03-13T05:41:38.891306,Device-004,53.81,0.57,25.87
2026-03-13T05:41:38.891306,Device-003,27.71,1.79,10.14
2026-03-13T05:41:38.891306,Device-001,30.08,0.34,17.33
2026-03-13T05:41:38.891306,Device-004,55.58,0.39,47.16
2026-03-13T05:41:38.891306,Device-003,24.08,1.38,24.56
2026-03-13T05:41:38.891306,Device-001,58.88,0.52,25.32
2026-03-13T05:41:38.891306,Device-005,23.5,0.96,49.62
2026-03-13T05:41:38.891306,Device-001,45.25,0.72,35.93
2026-03-13T05:41:38.891306,Device-002,21.75,1.28,22.29
2026-03-13T05:41:38.891306,Device-001,29.22,0.78,25.46
2026-03-13T05:41:38.891306,Device-003,20.06,1.73,36.32
2026-03-13T05:41:38.891306,Device-001,41.36,1.39,33.2
2026-03-13T05:41:38.891306,Device-002,22.48,0.25,48.59
2026-03-13T05:41:38.891306,Device-002,48.32,0.24,40.49
2026-03-13T05:41:38.891306,Device-001,49.25,0.24,21.04
2026-03-13T05:41:38.891306,Device-002,47.4,0.7,13.78
2026-03-13T05:41:38.891306,Device-003,45.74,0.78,35.08
2026-03-13T05:41:38.891306,Device-002,40.24,0.88,45.74
2026-03-13T05:41:38.891306,Device-001,28.22,1.36,45.75
2026-03-13T05:41:38.891306,Device-002,56.91,1.08,12.84
2026-03-13T05:41:38.891306,Device-002,42.02,0.15,32.29
2026-03-13T05:41:38.891306,Device-002,59.27,0.76,23.21
2026-03-13T05:41:38.891306,Device-004,39.2,1.38,19.32
2026-03-13T05:41:38.891306,Device-002,50.38,1.02,43.67
2026-03-13T05:41:38.891306,Device-001,31.44,1.09,35.19
2026-03-13T05:41:38.891306,Device-003,29.2,1.91,33.93
2026-03-13T05:41:38.891306,Device-005,31.05,0.33,16.94
2026-03-13T05:41:38.891306,Device-004,32.61,0.4,13.02
2026-03-13T05:41:38.891306,Device-004,20.1,1.48,44.3
2026-03-13T05:41:38.891306,Device-001,49.76,1.81,37.31
2026-03-13T05:41:38.891306,Device-004,32.14,0.63,38.33
2026-03-13T05:41:38.891306,Device-004,57.36,1.24,47.74
2026-03-13T05:41:38.891306,Device-002,43.88,1.37,24.0
2026-03-13T05:41:38.891306,Device-004,53.24,0.11,29.69
2026-03-13T05:41:38.891306,Device-005,26.9,0.82,37.95
2026-03-13T05:41:38.891306,Device-005,37.63,0.41,38.7
2026-03-13T05:41:38.891306,Device-001,23.41,1.03,47.05
2026-03-13T05:41:38.891306,Device-005,48.66,1.84,39.52
2026-03-13T05:41:38.891306,Device-001,26.56,0.1,12.54
2026-03-13T05:41:38.891306,Device-005,45.88,1.97,25.7
2026-03-13T05:41:38.891306,Device-004,34.08,1.16,45.17
2026-03-13T05:41:38.891306,Device-003,53.07,1.02,44.14
2026-03-13T05:41:38.891306,Device-001,22.48,1.84,48.76
2026-03-13T05:41:38.891306,Device-001,41.75,1.74,36.05
2026-03-13T05:41:38.891306,Device-005,25.98,1.11,30.83
2026-03-13T05:41:38.891306,Device-005,44.58,0.57,34.9
2026-03-13T05:41:38.891306,Device-002,25.81,1.2,16.43
2026-03-13T05:41:38.891306,Device-004,48.79,1.41,29.62
